Sale,Bracket,Tax,Total
70,no,0,70
73,no,0,73
93,yes,7.6725,100.6725
74,no,0,74
75,no,0,75
73,no,0,73
72,no,0,72
74,no,0,74
82,yes,6.765,88.765
94,yes,7.755,101.755
89,yes,7.3425,96.3425
83,yes,6.8475,89.8475
81,yes,6.6825,87.6825
71,no,0,71
73,no,0,73
82,yes,6.765,88.765
93,yes,7.6725,100.6725
81,yes,6.6825,87.6825
87,yes,7.1775,94.1775
76,yes,6.27,82.27
73,no,0,73
93,yes,7.6725,100.6725
79,yes,6.5175,85.5175
89,yes,7.3425,96.3425
80,yes,6.6,86.6
92,yes,7.59,99.59
83,yes,6.8475,89.8475
71,no,0,71
89,yes,7.3425,96.3425
94,yes,7.755,101.755
